"lat","lng","color","name","sid","nid"
"13.2075289","77.9879122","#8b9e12","relative_purple","KFwHcgilC","i0"
"21.1501007","72.8819281","#d5db67","silent_lavender","J5UgIOaWR2","i1"
"21.1758773","72.8645826","#d44df2","joyous_copper","Tw1UDS0QUP","i2"
"22.5963611","88.2187106","#ef77bb","social_salmon","V9ZSqWwtn-","i3"
"12.9077151","77.6038576","#6408af","commercial_beige","PJ16GtL6BY","i4"
"21.1760286","72.8661319","#75eae6","rare_jade","wWlt85yZ6v","i5"
"22.4348524","70.0386620","#67c932","worrying_orange","b-RdnJ4rQ8","i6"
"15.8626802","74.5106829","#b29df2","wonderful_chocolate","pXsld90co_","i7"
"19.2716157","72.8809137","#ea20e3","puzzled_ivory","rBayIQXUmo","i8"
"21.2386744","72.8711613","#ce3398","soft_chocolate","UcShatmfZV","i9"
"19.0201868","72.8620887","#a509c4","joint_amaranth","RsYH4eXEeS","i10"
"21.1755566","72.8653805","#efaada","chubby_gray","y38o0OdvOk","i11"
"15.5040417","73.7807050","#e5d312","homely_lime","8bDOI8qtLU","i12"
"19.0204125","72.8620135","#f9acc7","statutory_lime","FvQWdkmmKr","i13"
"21.1648070","72.8754198","#99281a","influential_maroon","rdKug-204T","i14"
"21.1647228","72.8757323","#1f3389","resident_lime","F48lMra3mg","i15"
"15.8625994","74.5106568","#5effbc","daily_azure","U1nd9dhf4Uw","i16"
"21.1701302","72.8757323","#d467ea","enthusiastic_emerald","ncFP21FKhFS","i17"
"19.4385733","72.8564767","#7b9b12","revolutionary_yellow","LdcKLJm5FvY","i18"
"19.0431869","72.8479829","#eab3f2","breezy_lime","9bsmQgn5EVe","i19"
"19.4385767","72.8565033","#e8938d","perfect_turquoise","0w0Ck-cdbA2","i20"
"19.9089837","83.1520017","#ff4fbb","negative_purple","H5KADsxHLxC","i21"
"19.2715880","72.8809985","#6be59c","cultural_apricot","YQ1hu9YK9Kc","i22"
"16.9859823","82.2388259","#6a69c6","minor_fuchsia","obyicLRnkNX","i23"
"21.1609833","72.8815267","#c605a6","severe_harlequin","ZMOxnrhqTzi","i24"
"19.0202317","72.8622183","#6be578","shivering_maroon","pkpJABEhGtN","i25"
"28.4793721","77.3378865","#647cc9","testy_violet","rWvRJhnPrYv","i26"
"22.4396928","70.0375762","#c3f989","inadequate_olive","CacTXK41Q6t","i27"
"22.9063929","81.3365118","#43dba6","living_violet","FNfctU6BBsK","i28"
"21.1755587","72.8655827","#9c56c4","financial_yellow","VId1s72p_t8","i29"
"21.2482498","72.9319942","#b71f4f","hard_amethyst","60xXQD_lBRO","i30"
"15.8626142","74.5107006","#fcb3b6","outside_gray","RkJ44TErNa6","i31"
"11.0359717","77.0075450","#d1ed87","eligible_chocolate","NSVLHnQmDLY","i32"
"19.4380229","72.8572711","#c49ffc","afraid_scarlet","mnp1Dbiwxz0","i33"
"23.0648415","70.0101790","#271782","encouraging_amaranth","uqjeIKJSaNq","i34"
"19.1308796","72.8693634","#e51d31","distinct_gray","zffXqYNnV9s","i35"
"19.0652880","72.9194124","#28c9bc","prior_bronze","RsFfLlPGjxO","i36"
"19.0202194","72.8620910","#80d147","net_olive","NHlbxlFlk_t","i37"
"19.0408081","72.8518663","#d33082","early_amethyst","ZDD9XkXu489","i38"
"19.0201867","72.8617967","#42ed48","coherent_aquamarine","D1Dks9qDZq8","i39"
"28.6622075","77.0097673","#9fcbe0","charming_maroon","c9W4dGVQ37X","i40"
"24.6184460","77.0343174","#c1d9ff","anonymous_yellow","JSLVgYkZyFc","i41"
"27.9918392","73.2991512","#f2e835","disastrous_amaranth","pJwUrpsIFX2","i42"
"20.2742088","73.0096061","#472fc4","overseas_brown","skrGk_LV2bm","i43"
"11.1199023","77.0066222","#9e7fd1","junior_indigo","WigQHbfG37-","i44"
"19.0060826","72.8550102","#cc18bd","sole_sapphire","24ueKOgz6ga","i45"
"23.0376726","72.6558130","#f9e666","gleaming_blush","NdAycC65Y0V","i46"
"18.9620346","72.8385179","#18b268","sorry_olive","Q_gUGcTizF9","i47"
"28.0069767","78.1277267","#f9484e","prospective_turquoise","j1wi79bZglS","i48"
"19.1878389","73.1678738","#ffc1f2","modern_coral","_tDTAzohc2N","i49"
"25.2786400","83.1119500","#5b3ba5","heavy_green","XKdKYsWn6pg","i50"
"17.6868706","83.1376514","#326e91","narrow_black","P_FVbet_A6n","i51"
"26.3000458","74.1186739","#af0d0a","toxic_red","b6eYspSnO42","i52"
"28.6316824","75.3936759","#eaea3c","tiny_brown","n-C_JqYGF3b","i53"
"22.7513777","75.8412538","#c2dcfc","grotesque_orange","KyudGjOdSP-","i54"
"15.1786531","76.7191081","#ef40e6","uniform_beige","Z3OVJQF_46S","i55"
"19.0594721","72.8421126","#a600d8","good_emerald","iFgBlPGQBjt","i56"
"19.0407934","72.8518601","#40f1f7","jolly_crimson","lzXXJSB1hel","i57"
"28.4908973","77.3081378","#7abc32","related_azure","S1StWvyywVs","i58"
"19.1097037","72.8723430","#57dba0","regular_plum","fas2A2sn9rQ","i59"
"18.9622174","72.8387575","#807eea","underground_salmon","htFrXqVySD1","i60"
"19.0448382","72.8506297","#a6f49f","easy_green","6gDdSoz30mq","i61"
"18.5944953","73.7528692","#c67e2b","weak_harlequin","bqNv4lZMIBh","i62"
"17.6884933","74.0039183","#f2b0c9","quiet_pink","n3c7OUjUkum","i63"
"22.2721531","82.2118322","#cbed0e","imperial_peach","D_jP7F8u7T7","i64"
"13.1216397","77.9930956","#f97f97","whole_chocolate","vwswDcY6Scw","i65"
"19.0060730","72.8550134","#82ff86","mental_jade","zSvhJ8SxxNH","i66"
"20.1765784","72.7684502","#fcb0dc","vocational_purple","hScgywGMlr5","i67"
"19.0746353","73.1047737","#a17fe0","rising_olive","W5qcr3kBmQ9","i68"
